,page_id,page_name,page_ideo_full_year,week,Other,Trump,Clinton,Johnson
0,15704546335,Fox News,0.2111789656167364,2016-07-31,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-08-07,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-08-14,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-08-21,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-08-28,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-09-04,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-09-11,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-09-18,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-09-25,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-10-02,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-10-09,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-10-16,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-10-23,0,1,0,0
0,15704546335,Fox News,0.2111789656167364,2016-10-30,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-07-31,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-08-07,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-08-14,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-08-21,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-08-28,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-09-04,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-09-11,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-09-18,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-09-25,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-10-02,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-10-09,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-10-16,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-10-23,0,1,0,0
1,153080620724,Donald J. Trump,0.3772126505188968,2016-10-30,0,1,0,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-07-31,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-08-07,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-08-14,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-08-21,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-08-28,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-09-04,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-09-11,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-09-18,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-09-25,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-10-02,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-10-09,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-10-16,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-10-23,0,0,1,0
2,346937065399354,Occupy Democrats,-0.3184791713164933,2016-10-30,0,0,1,0
3,95475020353,Breitbart,0.8022055733235712,2016-07-31,0,1,0,0
3,95475020353,Breitbart,0.8022055733235712,2016-08-07,0,1,0,0
3,95475020353,Breitbart,0.8022055733235712,2016-08-14,0,1,0,0
3,95475020353,Breitbart,0.8022055733235712,2016-08-21,0,1,0,0
3,95475020353,Breitbart,0.8022055733235712,2016-08-28,0,1,0,0
